DATE,TOTAL_VOLUME,TOTAL_FEES,TOTAL_TRANSACTIONS
2022-10-11 00:00:00.000,1229216867.48416,10234.125449256,1429
2022-10-12 00:00:00.000,1146793509.12872,8076.461384902,1135
2022-10-13 00:00:00.000,3160163785.82115,19379.818858628,3589
2022-10-14 00:00:00.000,2715596635.73417,12356.401821156,2830
2022-10-15 00:00:00.000,1631254542.48607,13694.889916713,2566
2022-10-16 00:00:00.000,1216018091.82691,10829.227948348,2677
2022-10-17 00:00:00.000,2201462967.38091,12555.401452299,2254
2022-10-18 00:00:00.000,1726684176.08728,13002.592518157,2180
2022-10-19 00:00:00.000,1100662274.27737,12665.446816136,1967
2022-10-20 00:00:00.000,1027239033.18553,11911.903509419,1552
2022-10-21 00:00:00.000,1159314979.29255,11278.587787889,1532
2022-10-22 00:00:00.000,1817817487.5336,12229.741675405,1553
2022-10-23 00:00:00.000,1998038792.91017,6670.603913119,1583
2022-10-24 00:00:00.000,2062667456.26001,8692.528708507,1787
2022-10-25 00:00:00.000,3234004017.33165,17426.004531528,2290
2022-10-26 00:00:00.000,3840749453.02004,13655.666730993,2622
2022-10-27 00:00:00.000,3997390887.14061,16314.490082877,3482
2022-10-28 00:00:00.000,3081063805.58303,12490.058007586,2500
2022-10-29 00:00:00.000,5059101430.03414,22910.504877933,3816
2022-10-30 00:00:00.000,4772840113.4496,11258.102474942,3898
2022-10-31 00:00:00.000,4205084472.51935,15854.363717371,3003
2022-11-01 00:00:00.000,2764911419.77299,10894.545158042,2326
2022-11-02 00:00:00.000,3888917945.22287,13557.405149974,2792
2022-11-03 00:00:00.000,2697360298.87429,10417.453694819,1804
2022-11-04 00:00:00.000,3604667650.89165,13367.773690474,2252
2022-11-05 00:00:00.000,3283233851.09861,8046.333302594,1951
2022-11-06 00:00:00.000,2685520681.36944,7283.641056694,1751
2022-11-07 00:00:00.000,2733268277.96121,9297.34793811,1772
2022-11-08 00:00:00.000,4203750914.40466,63633.009821359,4087
2022-11-09 00:00:00.000,2572039211.45961,65591.844449903,5798
2022-11-10 00:00:00.000,681303267.156697,30312.715540654,3166
2022-11-11 00:00:00.000,785516102.697783,16726.170947469,2557
2022-11-12 00:00:00.000,797582314.388686,29013.003468754,2321
2022-11-13 00:00:00.000,787034187.85943,37828.466804016,2422
2022-11-14 00:00:00.000,834256024.868901,9969.51471846,2194
2022-11-15 00:00:00.000,638650153.376009,6350.471261789,1349
2022-11-16 00:00:00.000,394497933.29331,12432.617850854,2539
2022-11-17 00:00:00.000,214516903.932311,8123.245706309,2020
2022-11-18 00:00:00.000,142342899.097846,16375.447659086,1223
2022-11-19 00:00:00.000,36933686.6680086,2948.8946065,1006
2022-11-20 00:00:00.000,105927889.555138,8487.579730474,2232
2022-11-21 00:00:00.000,622683374.382012,8802.537921385,3085
2022-11-22 00:00:00.000,1096205929.70152,8722.689757394,2650
2022-11-23 00:00:00.000,1116115000.0528,5591.455486314,1783
2022-11-24 00:00:00.000,1959415079.29546,7246.898923027,1662
2022-11-25 00:00:00.000,3205940278.98643,7122.523016639,2435
2022-11-26 00:00:00.000,3009879454.83999,5993.330238678,2090
2022-11-27 00:00:00.000,2476393483.35492,4951.529644998,1754
2022-11-28 00:00:00.000,2808724717.21866,9839.516307362,2585
2022-11-29 00:00:00.000,1736904321.10225,6614.20888104,1985
2022-11-30 00:00:00.000,3722900030.69905,14669.895564616,3215
2022-12-01 00:00:00.000,2240892555.11839,8139.678382375,2112
2022-12-02 00:00:00.000,1670414696.61829,6266.00445822,1734
2022-12-03 00:00:00.000,1913450814.129,5115.810400833,1578
2022-12-04 00:00:00.000,916147148.431724,4891.037613356,1214
2022-12-05 00:00:00.000,1547947974.86638,9699.545325407,1948
2022-12-06 00:00:00.000,1222256691.45969,5725.620220686,1471
2022-12-07 00:00:00.000,1687771719.09095,8821.842229565,2189
2022-12-08 00:00:00.000,2048717471.12174,6844.86305451,1690
2022-12-09 00:00:00.000,1417654207.57032,5978.879671983,1062
2022-12-10 00:00:00.000,1557863722.81045,4730.062503723,1263
2022-12-11 00:00:00.000,1214610892.65787,5469.551521715,1256
ï»¿